"name","N-methyl-pyrrol","pyridine","methylpyridine1","methylpyridine2","pyrrole","methylpyrrol1","methylpyrrol2","Pyridol","Indole","Methylindole"
"RT",,,,,,,,,,
"MW",,,,,,,,,,
"m/z",,,,,,,,,,
"class","p","p","p","p","p","p","p","p","ind","ind"
"origin","N","N","N","N","N","N","N","N","N","N"
"tic",5.4743220269,1.6763104903,1.4113710874,0.5530547433,1.8853371611,1.8407913815,2.2955035346,2.1142456847,2.9698643238,0
"exclude",F,F,F,F,F,F,F,F,F,F
,,,,,,,,,,
"sim",,,,,,,,,,
"Filename","Area","Area","Area","Area","Area","Area","Area","Area","Area","Area"
"KL-3-B",5.8759719652,1.6755048492,1.1900682153,,2.0174439804,1.6427577663,2.0966628348,2.2125480375,2.0592532575,0
"KL-3-C",,1.5716947393,1.0970198298,0.96273506,2.1362981229,1.6000153811,2.2038440555,2.2167567899,2.0487569044,0
"KL-3-D",,1.60770297,1.0001534168,1.6811575066,1.8154818766,1.6752873759,2.0233594133,2.1376679411,1.900174246,0
"KL-3-E",5.3575048243,1.7281528084,1.3044778996,0.5225229064,1.7872520308,1.7645115253,2.1708397949,1.9280071799,2.0553438481,0
"KL-4-A",5.6938223586,1.7603762698,1.5800342634,1.4597896976,1.8533047511,1.7971192695,2.0577824965,2.1962860572,2.0177070651,0
"KL-4-B",6.0825974481,1.7091617836,1.1703984264,0.7311170385,2.7741101253,1.5167675786,2.0753768181,2.1684046305,2.0587800743,0
"KL-4-C",5.7949766258,1.7389215876,1.3530039399,1.8833976776,1.8701319866,1.8989719137,2.0786947106,2.2311023902,2.1204187507,0
"KL-4-D",5.5416116909,1.7453156942,1.4005315367,1.5857068691,1.8737357533,1.7548920538,2.0359524246,2.1749278659,2.0786932994,0
"KL-4-E",,1.7467757284,1.3918198129,0.8275389845,1.8319178173,1.7087156211,2.0728590372,2.2903801008,2.1421371555,0
"OS-0-A",,1.686621715,1.3331832351,0.0538882129,1.8866134401,2.2439985459,2.6437883262,2.0550620552,5.6069538577,0
"OS-0-B",6.1789640291,1.6967658954,1.3180294642,,1.9230358686,1.94857087,2.8445604552,2.0683843577,5.8596993341,0
"OS-0-C",5.8792736577,1.7091583654,1.6173643519,0.0552774456,1.8857453389,2.1794198975,2.7667186069,2.0460718842,5.7656047486,0
"OS-0-D",4.8545116906,1.5498666284,1.4884079962,,1.8529586605,2.1914134965,2.5175442632,1.9986159099,4.8352821761,0
"OS-2-A",,1.6177267413,0.6031494518,,1.9181527185,1.6681338268,2.7156402768,2.1601101439,5.0554309644,0
"OS-2-B",5.6161509228,1.7558271491,1.0396951037,,1.922954276,1.8654672685,2.919756342,2.0184429261,5.1977367418,0
"OS-2-c",,1.5542425004,1.2716968569,0.3774006132,1.9291097386,1.9687301345,2.6406023662,1.8666061946,4.8847136147,0
"OS-2-D",6.1908660565,1.6515817256,0.9006237104,0.3154835094,1.916683945,1.6531923313,2.5606375189,2.1262202151,4.3246541432,0
"OS-2-E",,1.5224958805,1.6236112179,0.8884660316,2.1114414674,2.12677691,2.4927134864,2.2154164458,5.6053057176,0
"OS-3-A",,1.7124817345,1.0157824409,0.5283050125,1.8416494818,1.778139249,2.3693406555,1.9084530351,4.2366460292,0
"OS-3-B",,1.6501447728,1.1681158931,0.1899138765,1.8843106888,1.8811393526,2.5514851585,1.9085565749,4.7998147781,0
"OS-3-C",,1.6942921125,1.1559821243,,1.9215551828,1.8635535002,2.4950465953,2.0482951722,4.8298953371,0
"OS-3-D",,1.4892239412,1.3001882517,0.2302757924,2.0560720889,1.7499208781,2.4125235307,2.1624549067,4.3289370372,0
"OS-3-E",,1.6480040954,1.0113599638,,1.8437960478,1.6950653897,2.705243782,1.9846978755,4.2567857935,0
"OS-4-A",5.4788513415,1.6795042167,1.4018589842,0.2919667969,1.9180416863,2.0748790612,2.5913128385,2.2421394997,4.5742456263,0
"OS-4-B",5.9888514222,1.6648747072,1.3749302281,0.7234260313,1.8903887114,2.0068385981,2.416287978,2.1109015621,3.793746079,0
"OS-4-C",4.714266737,1.6903204791,1.6417791355,0.9518710828,1.8841604184,2.1884445268,2.4064242035,2.1255729819,4.1727773302,0
"OS-4-D",,1.6763119427,1.4532238447,1.5337119511,1.9064459871,2.0461279786,2.4412952414,2.1015747086,4.0534490097,0
"OS-4-E",5.6956518188,1.6763090379,1.4621526391,0.4936897188,1.8687385335,1.6012069291,2.3737424271,2.1175898074,3.6682355532,0
"SW-0-A",5.2826841338,1.6376473605,1.7425855123,0.8083819303,1.860334934,1.8833232461,2.4447574019,2.0642903045,1.9494170776,0
"SW-0-B",4.9943899433,1.6697843069,1.6381358531,1.1179989394,1.8314890368,1.8171902524,2.4735896629,2.0838839135,1.9073295679,0
"SW-0-C",5.2310254458,1.6288433078,1.6187746159,1.589820106,1.8739103189,1.9210888575,2.3661163831,2.1339112521,1.8904299465,0
"SW-0-D",5.4743220269,1.6445237476,1.6967953379,0.4565181848,1.8689327047,2.0709533298,2.568686498,2.0785408384,1.9327492315,0
"SW-2-A",4.6977658209,1.732276136,1.9640879993,0.6563732166,1.8465792414,1.9242868474,2.2166249133,2.1760505063,1.9480913405,0
"SW-2-B",4.4518844238,1.7382314807,1.8048280811,0.1219975069,1.8172438335,1.8832908543,2.3961458105,2.2168384043,2.0391647044,0
"SW-2-C",,1.5160629107,0.9492733532,0.536877372,1.7792258464,1.5943140071,2.1898328195,2.1285019794,1.912061712,0
"SW-2-D",5.0583928893,1.6598964125,1.8597615436,1.4279549131,1.8526560927,1.9594232686,2.2960199904,1.9425446892,1.9298692407,0
"SW-2-E",4.6190191923,1.7306816581,1.6731740245,0.4879086641,1.8109213032,1.793906835,2.2407988132,2.1858379954,1.9149297324,0
"SW-3-A",2.8957139479,1.7257183761,2.1752963889,0.2248380199,1.8367314098,1.8059958251,2.2034088756,1.9850872813,1.9937897165,0
"SW-3-B",4.9673884667,1.7224492462,2.018551114,1.1740304216,1.8162763569,1.7956730999,2.0676137318,1.9390057939,1.9156914934,0
"SW-3-C",3.9998392498,1.7560090113,1.7060726009,,1.8849289833,1.7170374873,2.3293067484,1.9705478228,1.9308090008,0
"SW-3-D",4.0200281302,1.8034233862,1.8508465765,,1.8702226228,1.8693589739,2.272864385,1.9969570526,1.8698212053,0
"SW-3-E",4.3566735893,1.7708573469,1.8322457348,0.3037256143,1.8035686475,1.7918746121,2.2205408225,1.9594338366,1.8687217265,0
"SW-4-A",5.5776559553,1.6571451191,1.4776753801,0.8739808706,1.8976228339,1.9330631029,2.1363117272,2.1286670063,1.7330008195,0
"SW-4-B",4.3680881157,1.8322369333,1.617444962,0.6525574698,1.8479227556,1.8798309535,2.1613901196,2.3170957661,1.8304251012,0
"SW-4-C",4.3096169124,1.7830742399,1.6887001938,0.2660420188,1.861628318,1.8377072637,2.0941763787,2.3564066417,1.8589965777,0
"SW-4-D",4.7606805196,1.6727877211,1.5509740523,1.8592085153,2.002853185,1.8709001404,2.0561442985,2.1364300235,1.7631228202,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"meadian",5.4743220269,1.6763104903,1.4113710874,0.5530547433,1.8853371611,1.8407913815,2.2955035346,2.1142456847,2.9698643238,0
