"","f1tic","f2tic","f3tic","f4tic","f5tic","f6tic","f7tic","f8tic","f9tic","cp10tic","f11tic","cp12tic","cp13tic","f14tic","f15tic","ar1tic","ar2tic","ar3tic","ar4tic","ar5tic","ar6tic","ph1tic","ph2tic","ph3tic","ph4tic","ph5tic","ph6tic","ph7tic","ph8tic","cp1tic","cp2tic","cp3tic","f4tic.1","cp5tic","f6tic.1","cp7tic","f8tic.1","f9tic.1","f10tic","cp1tic.1","cp2tic.1","cp3tic.1","cp4tic","cp5tic.1","cp6tic","cp7tic.1","cp8tic","p1tic","p2tic","p3tic","p4tic","p5tic","p6tic","p7tic","p8tic","ind9tic","ind10tic","cut01tic","cut12tic","cut03tic","cut14tic","cut05tic","cut16tic","al1tic","short2tic","f3tic.1","cp4tic.1","ar5tic.1","ter6tic","p7tic.1","f8tic.2","unk9tic","al10tic","al11tic","al12tic","cp13tic.1","cp14tic","al15tic","ar16tic","cp17tic","ar18tic","cp19tic","cp20tic","o21tic","al22tic","unk23tic","unk24tic","unk25tic","al26tic","o27tic","bf28tic","unk29tic","g1tic","g2tic","g3tic","g4tic","g5tic","g6tic","sy7tic","g8tic","sy9tic","sy10tic","ph11tic","sy12tic","sy13tic","g14tic","g15tic","g16tic","sy17tic","g18tic","g19tic","sy20tic","sy21tic","ph22tic","sy23tic","g24tic","sy25tic","sy26tic","g27tic","g28tic","sy29tic","sy30tic","cp1tic.2","short2tic.1","short3tic","short4tic","short5tic","short6tic","short7tic","short8tic","short9tic","short10tic","short11tic","fa1tic","fa2tic","fa3tic"
"KL-2-D","15017856","15409316","2388273.731","4016730.475","8417634.739","3955540","26927410","17866886","158851170","17276691","36290048","12888123","39911475","15551553","25498279","72039470","12711713","","1803640","16887434","26893012","342782026","276662659","9221816","34850372","8500421","104411120","10957938","25700184","544567","144959376","104566190","98879756","12207588","","39865410","6471956","38299866","","42456180","11486675","23740592","8689291","15812738","118502821","18117749","51324651","23224932","10783112","2370371","392479","22926414","8408410","15090476","29501751","16491268","","8028363","43339030","105248540","43339030","2864271","25079298","3371507","","2053994","","8785828","3349979","2375374","5579907","6632828","518299","10301704","6342476","12130038","7295026","NF","832781","39832707","15551553","15686282","27159035","NF","34362119","15774999","","22763143","27943828","6794923","298483621","298483621","142788273","62240851","26873123","16355394","198945263","36415790","97914801","139954006","","18743441","8752309","28010664","262474872","","8314684","11018919","NF","14953470","24215481","138295804","46628939","","","15724078","24186839","28649894","39916283","18404750","9415516","16229244","45776072","47462627","16478279","164357513","32168197","57715337","4428772","","5229830","2257219","4611691","","77097156","6983658"
"KL-3-A","31156879","35896565","5422923.196","9245613.079","20511675.43","6595130","53064290","37312418","343668016","35777628","74089592","36320174","85704694","35150390","50086443","135319553","30423556","","3858104","37413024","59020385","647002707","551779384","20924412","81126900","18052036","164083560","20173977","53977785","1065908","320567334","207688056","197324636","30519855","","80147544","15528047","81611619","","88275009","29356282","56198756","21460313","31053692","243883359","36548919","117186283","55681275","23575072","4252749","NF","52566416","16810475","27436289","64585900","28542642","","20232607","85435303","224212016","85435303","19092564","NF","10124224","","4146908","","19968113","5249782","4979433","12194002","12609515","739878","19028799","12938769","31985253","15291674","NF","6148574","85704694","35150390","32243113","42900567","NF","69016012","25893779","","58380040","56537269","15305878","532887776","532887776","331313176","171281880","73189169","49052651","467071298","84617749","205461700","369554912","","43190751","24793152","66496606","535532155","","12349861","41944120","NF","38656798","54449993","NF","112649633","","","26749371","57744233","62749013","85747678","32720417","13947871","37197737","96000900","114372164","41186781","346487527","75745035","128258953","11124820","","9150021","4652542","9633600","","221962501","8487666"
"KL-3-B","8846411","7936360","1719156.22","2411306.594","6309966.69","2997021","23743877","14584151","109284444","11861436","21742033","9918620","26734622","11545588","17389426","52461294","9109878","","1327914","12766041","19145134","240519745","191155177","7368588","20833121","6900144","78497216","6672137","15632234","376185","95240962","81091062","83962548","6500692","","27246058","3886024","28721964","","28591496","6894878","17040510","5158851","11373974","85543567","14111188","32946034","16976394","7924518","1275984","NF","16980134","6004163","10297705","21766802","11050614","","4276425","31313231","59797121","31313231","924676","21024252","4555069","","1323844","","6155792","1735465","1249365","4653951","4204239","4696057","8397369","6196204","8600168","3793299","NF","1972603","26734622","11545588","13229409","18717750","3094539","26213039","10024838","","16132979","14504221","5756737","206612054","206612054","108489779","51760817","18531737","14451561","161113831","30457582","67959520","112407722","","9526762","7955027","20159968","190546378","","7027927","18616622","NF","12260714","14658815","96569882","40371364","","","13757593","21397621","16826746","34302686","13930332","4795282","11500926","30821989","32162106","13705595","123145174","20352911","39931087","2183605","","3660766","623160","1770285","","93889797","4277420"
"KL-3-C","7529481","8987850","1363029.741","2159268.115","5712382.324","2501226","19820616","11230117","95876022","13111633","19558811","7072924","24488084","9054124","15448589","41565063","7015193","","1033289","9431922","15479745","203232932","159911857","5481397","17090274","5767845","64055103","6961127","14690137","332964","82602245","67634022","68038256","5011868","","22867138","2922223","25248090","","23865199","5955618","13581717","4016022","9451077","74050832","11692417","29111195","NF","5992630","933113","533516","14847257","4930769","9048587","20443339","9632290","","4556134","26280141","61681283","26280141","1178113","NF","1271381","","828042","","4421660","1376136","846708","3406346","3963353","NF","6138895","7029646","7461643","3032032","NF","1181799","24488084","9054124","12311647","13103271","NF","22014005","8003940","","14204373","14842454","4887432","174756333","174756333","88305318","40660568","16289110","12025069","128077185","24790100","57725826","91133055","","8727613","6819300","16230692","154613523","","5538934","10535564","NF","9875384","11874327","77778393","28384974","","","10133106","NF","13176183","24726252","10563264","4388665","10475175","27115116","26723941","9616487","93758175","16711356","35260355","1886871","","3061611","895884","1868554","","83128631","7400666"
"KL-3-D","4516104","5289333","1143869.275","1721287.032","4902936.768","2359220","17366440","10136581","81544408","7541152","16860222","4258893","20777322","7129852","14600280","35544770","5466163","","842449","8346650","13258178","176910019","140579526","4751022","14552221","4959925","71009741","5472679","","272830","66249870","58536475","57055443","3797821","","17131765","2957319","19673617","","21059152","4648513","11316021","3461837","7953364","56324246","10185545","23469895","NF","5345868","743188","865744","10357640","4423211","7587875","14397728","8528896","","6082379","19182347","46872796","19182347","989706","NF","2214894","","949997","","3914902","939273","NF","3130416","3200842","833510","5813006","4019850","5637272","2385739","NF","1642594","20685814","7129852","8919063","12197558","NF","19184031","11831836","","5320887","11002578","3446590","163387242","163387242","76494082","35089359","12183758","11594004","121850001","21253385","51029201","84853096","","7234602","5951920","15470875","148073657","","5733256","13242445","NF","10209355","11382287","75526364","31276652","","","8494084","11713727","NF","21434325","7027248","2459815","6231603","23538168","21894636","7909038","87655614","13300030","29705394","1199814","","2402591","742149","","","60560362","2409793"
"KL-3-E","15983390","13231507","3296849.131","5081243.478","11557865.96","5007658","36262164","23940706","205992998","18616319","43930907","18854328","54836287","21058326","31945100","87336660","17000985","","2232479","22748376","38121913","388279064","327865118","12218278","37964448","12042223","123455552","12226099","42482945","701388","193950037","135085413","130305933","16057354","","50039183","8058594","50711001","","54026098","15485103","35828454","11066867","18858120","148744800","23120072","65188159","33065609","14223458","2517658","662210","28521656","11629292","17584840","39005413","19178434","","8448052","55248684","98115464","55248684","2159532","NF","12475238","","2791454","","11331494","3187851","3045166","6230527","7636532","9872755","13888151","15478852","18585610","9697707","NF","NF","54836287","21058326","19015971","25432160","NF","44992423","19044333","","30461620","28646236","9295491","345681409","345681409","198564952","95570755","38138375","28405162","298633298","54293337","129583256","217505349","","22454093","16938632","40231258","349083104","","9799131","42365928","NF","23176074","31678759","NF","66337837","","","20049612","NF","30102044","47158068","23168729","9327040","17709222","55725057","59512126","24829876","237663565","40413646","73547785","5490229","","5186350","2699525","5568922","","118552025","6598778"
"KL-4-A","16215265","13282950","3140458.408","4464485.74","11511989.41","4619484","29661905","22722939","187357754","19725756","38400493","21838239","48780063","19170248","36926254","90955021","15133818","","2214124","21538119","34798632","381982047","323007099","13583818","35649680","12187907","110923349","14751044","36284928","694852","158454329","135625099","144720998","14066888","","47428603","12945825","50563864","","47583459","13262030","32493002","9417071","18325359","142606037","25599777","59472020","30993132","12880645","2872921","1803649","28647688","10833008","16009198","46825493","19149402","","","55820386","78788982","55820386","794790","33434650","15864035","","2546980","","10376354","2857639","2517482","NF","7400268","13132121","13765290","13031659","15397144","7453764","2390580","NF","48780063","23232261","20070606","26170534","6008495","45183760","19381465","","32794717","20208986","9898917","348283084","348283084","185053698","96050452","36328838","29163609","292677039","58335645","116531442","223014734","","17404606","NF","37109810","341595981","","11857958","NF","16280758","27848613","32972759","174229270","70171277","","","17963446","36812748","32859803","53378111","16262741","4997132","14937996","55833531","52205356","25531668","236323219","35170328","68207273","4610128","","6376337","1593444","4056131","","116743142","7672063"
"KL-4-B","8876489","9587486","1700531.905","2575252.453","6381370.793","2830754","18985011","14378476","118033071","13804230","24193978","10240052","27186714","10275904","21658310","55071890","8911023","","1349117","13167858","19266927","245104450","198115873","8267525","20886948","7328680","71376723","8951114","19040871","427068","97114551","83574074","90119615","6021590","","26753306","6519141","28644335","","28251754","7404211","17382757","5708134","11112278","84565602","15348100","34062799","17580428","7536701","1254893","519697","23350384","5611177","10528673","27081084","11665927","","","25920525","49350520","25920525","1830617","17336670","2113705","","988676","","6315040","1663927","1425616","4747045","4083147","NF","7251693","3661986","8509886","4737792","NF","1052194","27186714","12199283","11081858","15656936","NF","27612405","12395252","","19224174","10597524","5946659","220724314","220724314","106464108","52726162","20644609","14585703","159739147","36104456","72626131","118259484","","10530762","NF","21163285","194329570","","7201563","NF","7608974","13846212","16909982","96266783","42033413","","","10118306","18037297","17598711","36989375","11407180","5773245","8474331","31251133","32032606","14004544","110992437","19874608","39938594","2048731","","3182525","431035","2760813","","51093858","1936254"
"KL-4-C","12042013","8917860","2227617.681","3218299.049","8391467.24","4040567","22901928","17796616","148568098","15811743","31353773","14190630","37701486","14183642","27951378","67483816","11717664","","1685012","16218907","24340538","302370820","250652422","9518895","27106040","","106616622","12661168","24276350","513709","121760682","103128344","116306801","8809381","","34705033","8714006","40255072","","36247487","9544401","22833034","6829424","14511504","107734151","20012518","44747454","21887760","10077341","1843775","1766482","20609524","8759289","13084242","33421153","15265571","","","38540707","64867971","38540707","2587197","26867054","9083867","","1652706","","7547586","2011359","1354962","NF","6072873","5850608","10845781","9773955","10904880","6719202","1826631","1196550","37701486","16988401","11890727","22052532","4171943","36722181","15304977","","24205647","15436833","7264453","288161980","288161980","133104595","65813842","25947779","18847824","209425481","43869993","85083245","154882486","","12503568","NF","26996458","260377015","","9812726","NF","NF","18497757","21846188","132176986","55480963","","","13653626","28346543","26331550","41427742","12714647","6759874","15530581","39164072","41281664","18518008","169659919","26110980","51684275","3013236","","4309764","1115856","4276239","","74350868","2402828"
"KL-4-D","12535900","13251234","2454488.123","3576408.828","9382684.907","3343842","22497264","18219765","154454198","16312505","32565440","15519581","37995675","14617412","27303147","73640596","12148502","","1741272","16051977","25361179","312378727","256743663","10786445","27673062","","84929419","11032788","24023137","546483","128176164","103976431","113629744","9351164","","35502292","8417331","40569656","","39012967","10221679","22657817","7523461","15867701","112434601","19635671","47166747","24272032","10868203","2068375","1597430","23780240","8945385","13738326","38702787","15964905","","","37841634","63479920","37841634","2846089","24257146","5545120","","1817126","","7793927","2136566","2116516","6325504","5284605","613789","9645122","5837585","11074786","6432762","NF","998657","37995675","17416354","16390250","21131895","NF","34700191","15155348","","28415270","15522731","7750885","276900746","276900746","146713666","75087629","29825336","21360528","224472673","45301404","92677807","165042686","","14478367","NF","27720463","257555969","","8549654","NF","12031782","20111916","22700959","134526625","52917219","","","15389812","25198346","25389277","42511357","14022697","6707408","13893272","44016120","42166051","20740245","152730044","28423592","54250985","3694638","","4732080","1099674","4572388","","76835288","2528177"
"KL-4-E","18914683","20776143","3583693.883","5300066.499","12716304.83","6197249","31591806","24241586","215981538","23329171","45548342","23612726","51876962","21896085","36897468","101421801","17571884","","2752079","25998501","36161600","466163131","385971770","15545391","50099985","14175197","112584588","16720472","42470328","772530","198747227","142403003","145881305","17402544","","51583181","13603323","56340407","","55974720","17227837","34300647","12830702","21184121","156828442","26940014","74382993","NF","15483586","3095282","1221263","33138939","12639595","19266862","53439318","22888969","","","52406409","86271379","52406409","3896734","36890765","5469822","","2566753","","12643020","3475912","3104379","8336681","7836571","223415","13583918","7253324","17248224","9579635","2426478","2050346","51876962","27003631","22592226","34567649","5407840","48580123","21352645","","38827364","24322556","10375021","408154460","408154460","216500281","109373151","44865757","30783444","318593345","63060190","133480581","250999809","","23823584","NF","43340399","362149436","","9435315","NF","19059134","29086793","36519592","200680134","80486975","","","19593935","40346285","40556986","61091498","19072888","9156903","17692716","62775446","66741636","29776838","210448207","45128253","77147898","6406179","","5772302","2427237","5899247","","117501006","6887146"
"OS-0-A","30232412","22600724","4523146.882","8752503.247","15268590.97","7172390","49947997","33697086","363775691","28354114","67521841","35856769","63864389","24306189","100119673","120642337","18953205","","2527543","20032938","49432456","279193039","279050393","14073664","38575891","11202505","80050997","11047103","34320761","1120663","186990833","179240376","328754925","23083159","","40841121","24748965","115323176","","65563840","16455279","47897888","11444077","25546423","175250864","37448392","85351832","NF","16834819","3141293","82069","32534462","16271404","19888593","101585883","38861001","","","39048203","67023511","39048203","6901788","33288259","28415453","","5600623","","14158266","3606013","3610495","NF","9280228","29523609","18474764","25354877","19401589","12175232","2950257","1674794","63730491","28241268","25041591","14558093","6419269","82061006","38830789","","49085208","24916967","14216517","386811558","386811558","237303055","158592148","52234122","37885356","376864311","123761050","119321972","306240462","","20316811","NF","52855401","453917458","","17941695","NF","17414100","31166921","36611834","222356154","83059910","","","NF","34268996","55602069","63270070","NF","5618004","28868764","65184866","66813206","39978987","357995405","66562764","86493243","9758478","","4839301","2140086","10789190","","224928587","13120265"
"OS-0-B","28595041","22258343","4199308.235","7969140.347","14425965.9","6679463","46201825","32606022","340991382","25279892","64877927","29946279","58045686","22330297","95408827","110162930","17636833","","2377120","18919671","43144729","268934049","260422121","13225528","38536069","","89076164","10134645","35800182","1056307","163340574","165748364","319644784","21699194","","37671187","21754480","105810576","","59251240","14017053","40992543","9618645","24646933","164159436","34531441","70586795","37848410","14963585","2707794","NF","29131530","12220205","19115085","90698228","37301299","","","39557722","84805068","39557722","5123212","29851293","18757347","","4528183","","12072802","3572095","2605015","NF","8986014","13923580","16178862","15283278","18784499","12471532","3136162","1663075","58045686","26908284","22955694","13564296","NF","78241135","42794811","","43693327","25153823","14171097","379169527","379169527","217524288","144308680","44708465","37703698","356977253","114962481","115351529","280668959","","18990898","NF","48352961","438190738","","15474531","NF","17870727","29315168","36813275","202395700","76797008","","","NF","30094997","49403059","68536313","NF","5551487","28153264","55667080","59510957","33425603","291706790","60055621","80452165","6936292","","4732293","3734249","11562061","","220201726","16917508"
"OS-0-C","36122034","25420830","5593200.479","10825957.8","17192412.81","7636060","57674713","44183934","426475589","34002052","83910478","51965214","76681778","30423642","117603691","137279218","24687094","","3060545","25064660","63625695","339539857","343647164","16302949","52643492","","92632733","14341523","37541215","1359354","228365110","212684113","391384724","27496414","","46650327","29609058","139590130","","78692302","19643669","59673009","14450654","30897437","212272180","44774588","103596992","54262621","21187474","4855441","107596","40143545","18820775","24339637","126943065","45747975","","","45384196","53404637","45384196","2359917","58905814","36815065","","6963730","","17540128","5046435","4235024","NF","10556947","37642726","25137610","32947498","23800206","16867456","3929164","3364477","76552421","36593333","33153833","22137504","7479398","103578420","44148146","","62196495","30172057","17201628","503342506","503342506","295357376","198845056","63128218","48855872","473152995","152124068","158158295","381578415","","28457051","NF","66022753","568723366","","20298085","NF","28939725","40947762","47664113","293204421","105507382","","","30329967","66882443","75467630","83376563","8630872","7934085","37196869","76571807","82714614","46123399","436027349","76844009","103988425","13240433","","5653426","2948347","14470028","","326473888","8375652"
"OS-0-D","12339974","8435856","1928405.229","3277397.936","6552809.733","2564279","23484390","15883624","160305200","11793202","28156946","14278718","26940433","9583900","46036803","56058546","7650231","","1200086","7800324","20907387","129577264","126008756","6423576","16578797","","48343155","5270135","12954739","507445","66505564","83661990","169449547","5823739","","16792826","9955447","51823178","","26885674","4989929","18914276","3723998","12250872","75682684","17107277","31485484","11944026","6570906","1407580","NF","12231369","6762919","8919828","37546696","15896435","","","17319825","30134764","17319825","NF","14407474","11144663","","1788694","","4927554","1530937","1350859","NF","5760546","15791516","10545215","10878742","6787153","4116583","910222","988052","26734407","10283589","10223647","7310640","NF","39275609","16462084","","18146201","10663015","6602113","195147259","195147259","99933129","64925427","19098082","15584813","166993858","57988096","49176316","124196778","","5869513","NF","21077245","211888203","","11935117","NF","7220996","13758180","15218593","90977661","37130431","","","NF","20741225","21839632","32422548","NF","2304559","15926406","28635807","27176817","17558766","159341533","24325526","36940344","1753739","","2889020","529315","5345714","","115974300","7759924"
"OS-2-A","17545260","15615447","2775054.837","4553158.672","10373560.23","4041263","42018226","23597726","229522839","15023824","47099860","21070921","31686216","15620766","53325884","78683320","12178068","","1645931","13064991","27202545","192337919","182216634","9960452","27011518","","81604964","7896985","18560757","766844","124943606","114490207","208588003","14494811","","24505130","8624015","72107570","","41267649","10027376","24571860","6564411","16763011","112875456","20899829","51255465","NF","9653079","712951","NF","16201113","6188211","13411032","31890987","23022468","","","22010204","49368794","22010204","1469860","24366587","6124899","","2221428","","8036727","1691344","1272176","NF","4578465","NF","10303741","5991354","11620195","6813084","NF","NF","31686216","18270362","12618108","12046985","NF","48295895","14099596","","29133001","12874717","9611097","252164619","252164619","155311668","108342312","32990472","28297699","257774690","79504111","84999973","203402394","","15239461","NF","34844145","296898597","","16090510","NF","14748393","23037616","27624489","248384409","57904103","","","22020313","26373549","30051567","54115843","9569865","3822098","26503389","35512810","41142196","21314931","157388772","39615693","58018942","4566475","","4286711","1318345","6102523","","61722679","4599026"
"OS-2-B","44659539","40147955","6729114.278","12783068.74","24382889.67","9024263","73623343","47575118","498436462","38043219","113996707","45897296","77189929","39822089","122404234","163669153","31463379","","3955018","30701756","69410330","452339151","461390534","20911142","82366496","","171009348","19429550","52435288","1586053","285245822","225485514","414977257","36219526","","51194526","24675160","147921176","","100094138","27395270","65957960","19029634","35032546","246137599","42379249","122341405","62318327","24211083","3346843","NF","42470147","16730751","29651241","82231167","56246279","","","58590450","130536586","58590450","12135337","50407160","18438930","","6551242","","20974892","5613097","4428559","16255789","11439330","13653666","19639473","15768822","26195890","17246399","NF","3121803","77078183","39822089","35074639","23496232","NF","110175503","34267577","","62749849","36262321","19969309","613524129","613524129","347739896","234840192","86998767","58513326","544145967","176012716","191760576","450955665","","45689989","NF","82812910","635418526","","21864880","19677850","35868927","49158016","59441867","348320469","140625512","","","NF","50354531","81282172","92772712","9754705","3420263","42053098","88027632","111824159","51756091","388570895","102511349","132807521","14464788","","8448787","3874885","16336996","","263265134","21917320"
"OS-2-c","15371729","10089295","2563531.743","3753300.429","8515798.508","4650802","37844922","22294732","203705131","13440239","41407353","17694547","31002429","14379282","51262137","70029503","9715517","","1546082","12304345","27677024","170127494","161714413","8013538","21125090","","85171518","6504731","13881423","686727","104566499","106327205","193889767","11012947","","22433359","7496893","55382169","","36606262","7576796","26123008","4955775","16969304","99121406","20148528","44048292","NF","7873735","1344560","264054","14534478","6441685","11814290","23103123","20265778","","","19887608","44581716","19887608","2057233","18271873","16132900","","3082001","","6774001","1856281","NF","NF","5784461","17635807","12536587","13050226","11034250","6169931","NF","NF","31002429","16875536","12260236","10619765","NF","50443113","15345135","","25539996","13127905","8968597","248227088","248227088","132837963","83534326","26892300","23105534","230076286","71355077","69417788","173257022","","11950159","NF","30313588","270965798","","15438875","NF","NF","18060501","20571251","134260849","49204645","","","16920103","18937554","24029782","43639565","5711701","3815023","12592246","31883555","35525333","20689657","197535877","32166334","49795535","3524155","","4209602","1025753","6277570","","60309106","8269958"
